Library_ID,sample_ID,Geotype,Ear_tag
LA52_09A,S9,KT,CM3279
LA52_24,S15,KT,CM3274
LA52_25,S30,KT,CM3275
LA52_09B,S14,KT,CM3279
LA52_05,S24,KTC,HC2029
LA52_06,S19,KTC,HC2039
LA52_07A,S26,KTC,HC2043
LA52_18,S10,KTC,HC2084
LA52_20,S12,KTC,HC2098
LA52_21,S7,KTC,HC2100
LA52_22,S22,KTC,HC2104
LA52_23,S16,KTC,HC2109
LA52_7B,S2,KTC,HC2043
LA52_7C,S27,KTC,HC2043
LA52_03,S11,KTC,HC2005
LA52_08A,S29,KTC,HC2055
LA52_15,S20,KTC,HC2049
LA52_16,S6,KTC,HC2051
LA52_17,S33,KTC,HC2054
LA52_19,S18,KTC,HC2086
LA52_8B,S21,KTC,HC2055
LA52_8C,S1,KTC,HC2055
