Guide,Category
Actr8_1,Target
Actr8_2,Target
Actr8_3,Target
Aebp2_1,Target
Aebp2_2,Target
Aebp2_3,Target
Alkbh3_1,Target
Alkbh3_2,Target
Alkbh3_3,Target
Arid1a_1,Target
Arid1a_3,Target
Arid2_1,Target
Arid2_2,Target
Arid2_3,Target
Arid4a_1,Target
Arid4a_2,Target
Arid4a_3,Target
Arid4b_1,Target
Arid4b_2,Target
Arid4b_3,Target
Ash1l_1,Target
Ash1l_2,Target
Ash1l_3,Target
Ash2l_1,Target
Ash2l_2,Target
Ash2l_3,Target
Asxl1_1,Target
Asxl1_2,Target
Asxl1_3,Target
Asxl2_1,Target
Asxl2_2,Target
Asxl2_3,Target
Atf2_1,Target
Atf2_2,Target
Atf2_3,Target
Atf7ip_1,Target
Atf7ip_2,Target
Atf7ip_3,Target
Atrx_1,Target
Atrx_2,Target
Atrx_3,Target
Bag6_1,Target
Bag6_2,Target
Bag6_3,Target
Bap1_1,Target
Bap1_2,Target
Bap1_3,Target
Baz1a_1,Target
Baz1a_2,Target
Baz1a_3,Target
Baz1b_1,Target
Baz1b_2,Target
Baz1b_3,Target
Baz2a_1,Target
Baz2a_2,Target
Baz2a_3,Target
Baz2b_1,Target
Baz2b_2,Target
Baz2b_3,Target
Bptf_1,Target
Bptf_2,Target
Bptf_3,Target
Brd1_1,Target
Brd1_2,Target
Brd1_3,Target
Brd2_1,Target
Brd2_2,Target
Brd2_3,Target
Brd3_1,Target
Brd3_2,Target
Brd3_3,Target
Brd4_1,Target
Brd4_2,Target
Brd4_3,Target
Brd7_1,Target
Brd7_2,Target
Brd7_3,Target
Brd8_1,Target
Brd8_2,Target
Brd8_3,Target
Brpf3_1,Target
Brpf3_2,Target
Brpf3_3,Target
Brwd1_1,Target
Brwd1_2,Target
Brwd1_3,Target
Brwd3_1,Target
Brwd3_2,Target
Brwd3_3,Target
C7orf26_1,Target
C7orf26_2,Target
C7orf26_3,Target
Carm1_1,Target
Carm1_2,Target
Carm1_3,Target
