"gene_name","point_est","p","fdr"
"Actr8",2.20716842168482,0,0
"Aebp2",2.9264590071906,0.36314205252738,0.462611397350097
"Alkbh3",3.14972692279207,0,0
"Arid1a",2.58950533094576,0,0
"Arid2",2.55841799459798,0,0
"Arid4a",4.66501282519422,0,0
"Arid4b",2.52084481768342,0,0
"Ash1l",3.06864260644235,0.36564385424902,0.463782031579926
"Ash2l",4.02010097885036,0,0
"Asxl1",2.99821747463047,0,0
"Asxl2",5.93088812067028,0,0
"Atf2",2.96576037847957,0.810880221438757,0.82783242119009
"Atf7ip",3.14948282566553,0.080935603496374,0.127495332389449
"Atrx",3.04441319943153,0,0
"Bag6",3.73418113755179,0,0
"Bap1",2.37069026857817,0,0
"Baz1a",2.27137925706442,0.505955352574817,0.581352620801653
"Baz1b",0.952705044935454,0,0
"Baz2a",1.12779716652536,0,0
"Baz2b",1.06389393992844,0,0
"Bptf",0.992469873838627,0,0
"Brd1",0.93981883415399,0.147486068254873,0.221607271788091
"Brd2",1.10959593015969,0.456132069076713,0.530344032696336
"Brd3",0.942672250748888,0,0
"Brd4",0.72870761374115,0,0
"Brd7",1.06327644252703,0,0
"Brd8",1.05094744997781,0.0293850129640092,0.0473066417497511
"Brpf3",0.908582453638498,0,0
"Brwd1",1.12348102615568,0,0
"Brwd3",1.20434639288874,0,0
"C7orf26",1.49693999577141,0,0
"Carm1",0.865069739884696,0,0
"Cbx1",1.10921054387951,0,0
"Cbx3",1.0954076788633,0,0
"Cbx5",0.846855865488603,0.41356462524134,0.490584757877379
"Cdkn1a",0.7699350736847,0.484159181328471,0.558498583185993
"Cecr2",1.1009804352753,0,0
"Celsr1",1.13321629757501,0.159611673269292,0.236193031656073
"Celsr2",1.06794087336007,0,0
"Cep290",0.968824910683915,0.566511439516983,0.64336376658324
"Chd1",0.823465750189241,0,0
"Chd2",0.709560900252838,0,0
"Chd3",0.890615481795358,0,0
"Chd4",0.979376376791619,0.146354521924913,0.22104059239175
"Chd6",1.19467728424873,0,0
"Chd8",1.16735191913571,0.136477282568367,0.207190900479439
"Chrac1",0.991554568576242,0,0
"Crebbp",0.91199959575804,0,0
"Cxxc1",0.925456769049419,0.264150860047499,0.353407315040718
"Dhx30",0.809275204642109,0,0
"Dido1",0.984767842850797,0,0
"Dnmt1",0.939750722188736,0,0
"Dnmt3a",1.50771475953556,0,0
"Dpf2",1.00658791867145,0,0
"Dusp1",0.878679535682849,0,0
"Eed",0.846838049061725,0,0
"Ehmt1",0.87168473297641,0,0
"Ehmt2",0.781491312984481,0,0
"Ep300",0.936119177235084,0,0
"Ep400",0.980887704885809,0.763461740727775,0.804655719544022
"Epc1",1.07241502923546,0.294597314069009,0.383631168987643
"Epc2",0.906811550062061,0,0
"Eya2",0.968165968439554,0,0
"Ezh2",1.26046772247115,0,0
"Fxr1",1.17344926301504,0,0
"Gatad2a",0.982642455022958,0.273075822943187,0.363687346010699
"Gatad2b",0.994699780486596,0.66262370853165,0.704844807168763
"Gclc",0.997326063039732,0.297684483041167,0.385936077571071
"Glyr1",1.48715164654976,0,0
"Gss",1.04206146675591,0.592842301236049,0.643956043956044
"Gtf3c1",0.69030748303842,0,0
"Hat1",0.847302305146478,0,0
"Hcfc1",0.845280959817447,0,0
"Hdac1",1.22212814414174,0,0
"Hdac2",0.984481407618908,0.203143642585271,0.282090461030732
"Hdac3",0.771278991199985,0,0
"Hdac5",1.00397668878866,0.239773484978571,0.325248292123709
"Hdac7",1.26937559801313,0,0
"Hdgf",1.46054827127334,0,0
"Ift140",0.998130666282585,0.582007512944267,0.643956043956044
"Ift80",1.07073756282138,0.403956075485455,0.481134675273326
"Ing1",1.30705210629829,0,0
"Ing2",1.13485717079477,0,0
"Ing3",0.917799258566635,0,0
"Ing4",0.864620243347009,0,0
"Ino80c",0.923256829421038,0,0
"Ino80d",0.920917989636102,0.187290027978035,0.273014816903305
"Jade3",0.850615883218455,0,0
"Jarid2",1.08376697673764,0.180292524362804,0.265455827328149
"Jmjd1c",0.928794163376151,0,0
"Jmjd6",1.04956273416274,0,0
"Jmjd8",0.948333229179307,0.401693785013987,0.48039297554734
"Kat2b",0.937374249236541,0.428052806233441,0.503692659543767
"Kat5",0.776542649977897,0,0
"Kat6a",0.756549205773916,0,0
"Kat7",2.10133904413741,0,0
"Kdm1a",0.779552137383914,0,0
"Kdm2a",0.730179184319377,0,0
"Kdm3b",1.17095805383932,0,0
"Kdm5c",1.31175851353398,0,0
"Kdm6a",1.0933507928686,0,0
"Kdm6b",0.927774898743291,0.153379655699324,0.229286934285214
"Kif3a",1.40429018666133,0,0
"Kmt2a",1.82677498115956,0,0
"Kmt2b",1.00276542872637,0.208869856378014,0.288673905277161
"Kmt2c",0.842673148516218,0,0
"Kmt2d",1.92608314547941,0,0
"Kmt2e",1.34252744906646,0,0
"Lbr",1.26635056764522,0,0
"Lmna",1.15805865598644,0,0
"Mapk3",0.876427161152539,0,0
"Mau2",0.802093509631861,0,0
"Mbd2",0.739389027767163,0,0
"Mbd3",1.32188008748478,0,0
"Mbd6",1.05999614318768,0.125417782265886,0.193375284936767
"Mcrs1",0.739856346143396,0,0
"Meaf6",4.58544089131396,0,0
"Mecom",0.764532515628529,0,0
"Men1",27.8191597788174,0,0
"Mgea5",0.7863973763708,0,0
"Mllt10",2.04072268599206,0,0
"Mllt6",1.17971884513318,0,0
"Morf4l1",1.13312203368417,0.117067838320981,0.181486119725119
"Morf4l2",0.938875928044829,0.126056926358098,0.193375284936767
"Mphosph8",1.03710414743125,0.386543819000603,0.480327868852459
"Msi2",0.881547817227209,0.103337433205018,0.161052488984417
"Msl3",1.02032193750877,0.875198432455518,0.890392849685649
"Mta1",1.03813402070923,0.286300630771809,0.376170783928879
"Mta2",0.90670126395108,0,0
"Mta3",1.01842058668423,0,0
"Mtf2",1.04842479654555,0.45608683587993,0.530344032696336
"Ncoa1",0.909127784084696,0,0
"Ncoa2",0.829840630730433,0,0
"Ncoa4",1.01739586450226,0.191173175259866,0.277295744312578
"Ncoa6",1.34585459247388,0,0
"Ncor1",0.953694017268318,0,0
"Nipbl",0.731643348463377,0,0
"Nsd1",0.711826980620312,0,0
"Otud5",1.09027892230187,0,0
"Pbrm1",1.09243933152644,0.230081997912008,0.31501881022532
"Pcgf2",1.05052136482044,0.158543596729965,0.235803420517156
"Pcna",0.920985469795303,0,0
"Pds5a",0.765760730940238,0,0
"Phc1",1.09406000185472,0,0
"Phc2",1.06042050126862,0.0488116698965144,0.0781520179217417
"Phc3",0.996242069594296,0,0
"Phf1",1.05253589203425,0,0
"Phf10",1.26868212333732,0,0
"Phf12",0.852183998304473,0,0
"Phf14",1.00377126586263,0,0
"Phf2",0.839955793634812,0,0
"Phf21a",1.00054075365255,0.279422897155585,0.368787877777417
"Phf23",0.86404289985438,0,0
"Phf24",1.01420175655008,0.3353549192835,0.429078564847448
"Phf3",1.43563240814249,0,0
"Phip",1.04859360037177,0.335162023597417,0.429078564847448
"Phrf1",1.1055437127637,0,0
"Pogz",0.926710857140492,0,0
"Pole3",0.894697077015267,0,0
"Ppp4r3a",0.98526807320396,0.774436714761143,0.813297338440913
"Ppp4r3b",1.0192306288833,0.437699993387169,0.512984392249762
"Prmt1",2.99145147587683,0,0
"Prmt2",0.995092370264195,0.470880658845713,0.545328193841082
"Prmt8",1.02909396468726,0.701886584164974,0.742428769531904
"Psip1",2.60010133995911,0,0
"Psma3",0.724001396776849,0,0
"Psmd1",0.875210615130114,0,0
"Ptpn11",0.726237275814451,0,0
"Ptpn14",1.12287489135779,0,0
"Pwwp2b",1.1380804318801,0,0
"Rad21",1.28801464380489,0,0
"Rai1",0.958534203795648,0.214448784387779,0.294992928758776
"Rasa1",1.2141105678074,0,0
"Rb1",3.89497667708005,0,0
"Rbbp4",0.923147027112874,0,0
"Rbbp5",0.740279232780979,0,0
"Rbbp7",0.813280320287732,0,0
"Rbm10",1.66097720427797,0,0
"Rere",0.927024279390044,0.288665989188834,0.377585423358608
"Ring1",1.23681773790365,0,0
"Rnf2",1.1327514874665,0,0
"Rsu1",1.00526404835695,0.324956956572912,0.419437833814376
"Rtf1",0.665705717432249,0,0
"Ruvbl1",0.874742872062444,0,0
"Ruvbl2",0.675630694812921,0,0
"Scmh1",1.13007036693741,0,0
"Set",0.916355461237305,0,0
"Setd1a",0.909790300452934,0,0
"Setd2",4.07152490728996,0,0
"Setd3",0.862044798400206,0,0
"Setd5",1.06571118288611,0.393838888702888,0.480327868852459
"Setd7",1.08874141918536,0.275264183213204,0.364943012133343
"Sirt1",0.743235611553295,0,0
"Sirt2",1.26909131695908,0.0884221003624541,0.138543718749728
"Sirt7",0.809859911815483,0,0
"Smarca2",0.996763119795285,0.0741652394951071,0.117461703632791
"Smarca4",0.739894342932543,0.547895652432125,0.627083695947706
"Smarca5",0.951645906028624,0,0
"Smarcb1",1.00076187068824,0.128027724748559,0.195375642454832
"Smarcc1",1.1722502697941,0,0
