"gene_name","point_est","p","fdr"
"Actr8",2.33898521199222,0,0
"Aebp2",2.90823696171701,0.263361605014349,0.32976474474019
"Alkbh3",3.00305419072607,0.0927571326084478,0.131293912339494
"Arid1a",2.45847862847879,0,0
"Arid2",2.55429867585526,0,0
"Arid4a",4.36388098732541,0,0
"Arid4b",2.58391590904868,0,0
"Ash1l",3.03640775926914,0.333527121229254,0.400274175531519
"Ash2l",3.96415187878385,0,0
"Asxl1",2.93648845072246,0,0
"Asxl2",5.45270414923347,0,0
"Atf2",3.05091043062746,0.120188615232265,0.169304155110835
"Atf7ip",3.08738686016583,0,0
"Atrx",2.93120117063306,0,0
"Bag6",3.32472176774212,0,0
"Bap1",2.34888576830199,0,0
"Baz1a",2.27929965640445,0.917393176595285,0.923698284338207
"Baz1b",0.939503976155082,0,0
"Baz2a",1.14788771413951,0,0
"Baz2b",0.982323648541077,0,0
"Bptf",0.993416717300389,0,0
"Brd1",1.00997330632716,0,0
"Brd2",1.12116375757668,0.181030153113322,0.250197334255676
"Brd3",0.894925630488292,0,0
"Brd4",0.764705078179239,0,0
"Brd7",1.0275388533835,0,0
"Brd8",1.10932852841776,0,0
"Brpf3",0.917814646194812,0,0
"Brwd1",1.11487771133346,0,0
"Brwd3",1.2347423895115,0.0406038837117269,0.0591887459081391
"C7orf26",1.35915948112722,0,0
"Carm1",0.917068652538344,0,0
"Cbx1",1.10358547766361,0,0
"Cbx3",1.06293946528134,0.0336800937154547,0.0493413372931411
"Cbx5",0.838782622344555,0.678762297011641,0.70274683047495
"Cdkn1a",0.799722318866503,0,0
"Cecr2",1.05643558768002,0.400224295411237,0.451021994444202
"Celsr1",1.10322233071512,0.285987969421916,0.353563185825406
"Celsr2",1.05583217003908,0,0
"Cep290",0.925665174733387,0.214188491480001,0.275251000015966
"Chd1",0.857064012549646,0,0
"Chd2",0.754162580464408,0,0
"Chd3",0.905841086451839,0,0
"Chd4",0.96403493595303,0,0
"Chd6",1.16264051926306,0,0
"Chd8",1.12656495420145,0,0
"Chrac1",0.98576081889494,0.26501964633175,0.330428750532777
"Crebbp",0.894943161990959,0,0
"Cxxc1",0.904711301173475,0,0
"Dhx30",0.8536376487569,0,0
"Dido1",1.02152430392379,0,0
"Dnmt1",0.86567389083061,0,0
"Dnmt3a",1.43136377533435,0,0
"Dpf2",1.00122187754502,0,0
"Dusp1",0.880649258801638,0,0
"Eed",0.825380545525268,0,0
"Ehmt1",0.864992157974284,0,0
"Ehmt2",0.819557770629917,0,0
"Ep300",0.975229483543822,0,0
"Ep400",0.962897701310647,0,0
"Epc1",1.02881977758698,0,0
"Epc2",0.954746097636893,0.242776663804573,0.305294259634077
"Eya2",0.951385694251268,0,0
"Ezh2",1.23928094247505,0,0
"Fxr1",1.09038348401396,0,0
"Gatad2a",0.972060405898257,0.514182715689148,0.566374194349324
"Gatad2b",0.951746464339298,0,0
"Gclc",0.999433498576789,0.649494294863569,0.67656860097745
"Glyr1",1.46824439203559,0,0
"Gss",1.02147517972683,0.268714710145937,0.3336161443761
"Gtf3c1",0.749965047797728,0,0
"Hat1",0.878475679688431,0,0
"Hcfc1",0.798865003667689,0,0
"Hdac1",1.16483438566481,0,0
"Hdac2",0.999356688703468,0.361360840653654,0.426930348030325
"Hdac3",0.790602032108655,0,0
"Hdac5",1.00516979728832,0.239773484978571,0.302958184578237
"Hdac7",1.18852366458659,0,0
"Hdgf",1.30090405274945,0,0
"Ift140",0.963341065111591,0,0
"Ift80",1.05389913967841,0,0
"Ing1",1.24186501745734,0,0
"Ing2",1.10366207715406,0,0
"Ing3",0.888304612610197,0,0
"Ing4",0.878954875745104,0,0
"Ino80c",0.939319524330923,0,0
"Ino80d",0.908252411640181,0,0
"Jade3",0.864775287771488,0,0
"Jarid2",1.06432606996204,0,0
"Jmjd1c",0.969528069087145,0,0
"Jmjd6",1.04314842452824,0,0
"Jmjd8",0.954239423536402,0.239884978915191,0.302958184578237
"Kat2b",0.981024148552304,0.465678855515221,0.516832972219545
"Kat5",0.831601581226097,0,0
"Kat6a",0.775579364567975,0,0
"Kat7",1.85344736239156,0,0
"Kdm1a",0.820757055170769,0,0
"Kdm2a",0.767094515632272,0,0
"Kdm3b",1.11950114196461,0,0
"Kdm5c",1.25364099369751,0,0
"Kdm6a",1.05128516368313,0.457723982440887,0.509935843555818
"Kdm6b",0.919605619490272,0,0
"Kif3a",1.25606211249096,0,0
"Kmt2a",1.6572716309769,0,0
"Kmt2b",1.01468420135848,0,0
"Kmt2c",0.883462853732416,0,0
"Kmt2d",1.6021769029726,0,0
"Kmt2e",1.24109014369548,0,0
"Lbr",1.22474974394941,0,0
"Lmna",1.07912262737295,0.199859444814244,0.261607142857143
"Mapk3",0.883165459708044,0,0
"Mau2",0.815378039899955,0,0
"Mbd2",0.796098762223256,0,0
"Mbd3",1.19227952235925,0,0
"Mbd6",1.00322817669032,0.555949777383114,0.610087208888586
"Mcrs1",0.77533293580298,0,0
"Meaf6",4.51788445678312,0,0
"Mecom",0.808708131799681,0,0
"Men1",38.0696196025134,0,0
"Mgea5",0.851535787735132,0,0
"Mllt10",1.80611988531928,0,0
"Mllt6",1.19103655051711,0,0
"Morf4l1",1.0427478187408,0.334700249164581,0.400274175531519
"Morf4l2",0.917101871429807,0,0
"Mphosph8",0.975422472716417,0,0
"Msi2",0.840915590999324,0,0
"Msl3",1.0462215373603,0.237159095572728,0.302120065229606
"Mta1",1.01086539800647,0.563868993731457,0.616468713295959
"Mta2",0.901319528593184,0,0
"Mta3",0.986325491913257,0.0772824457686891,0.110457349318175
"Mtf2",1.02076951633578,0,0
"Ncoa1",0.93242531740136,0,0
"Ncoa2",0.855435105021862,0,0
"Ncoa4",1.00965708749035,0.127461503012014,0.177839144678668
"Ncoa6",1.29442429752746,0,0
"Ncor1",0.973796630695197,0.202531783268658,0.263741388878741
"Nipbl",0.827457131249371,0,0
"Nsd1",0.766150336144161,0,0
"Otud5",1.04149131695785,0,0
"Pbrm1",1.07180176704909,0.294340432867952,0.360844128997113
"Pcgf2",1.01673862065414,0.370599295594444,0.434342374436688
"Pcna",0.9224586408059,0,0
"Pds5a",0.823291247194131,0,0
"Phc1",1.07125083528208,0,0
"Phc2",1.03373348151862,0.199626464446755,0.261607142857143
"Phc3",1.02134656406347,0,0
"Phf1",1.0181657270316,0.0909257398503847,0.129326416389139
"Phf10",1.21044557526226,0,0
"Phf12",0.854972626548056,0,0
"Phf14",1.01137488055375,0,0
"Phf2",0.859853194124445,0,0
"Phf21a",0.982006328804967,0.651168414592631,0.67656860097745
"Phf23",0.845714024055338,0,0
"Phf24",0.993137296760289,0.313750166341965,0.379871069166098
