"gene_name","point_est","p","fdr"
"Actr8",2.18288294947859,0,0
"Aebp2",2.94630379503088,0.106357021085868,0.160631995763708
"Alkbh3",3.28303381042826,0.302921279319531,0.384224826149882
"Arid1a",2.37143115971146,0.13959734474216,0.207624477205345
"Arid2",1.6869024560211,0,0
"Arid4a",4.79109414166172,0,0
"Arid4b",2.9570131895273,0,0
"Ash1l",2.84502364044855,0,0
"Ash2l",3.51788135298478,0,0
"Asxl1",2.64234042830686,0,0
"Asxl2",4.09909124870584,0,0
"Atf2",3.01687319735969,0.672425757299103,0.708707722620997
"Atf7ip",2.67267857049715,0.160967600382568,0.233644764181415
"Atrx",2.91634994088311,0,0
"Bag6",3.57962113827516,0,0
"Bap1",1.65819597585376,0,0
"Baz1a",1.76063004860894,0,0
"Baz1b",0.943861588338649,0,0
"Baz2a",1.01200449235853,0.219255901941825,0.293342371091117
"Baz2b",1.13729254114213,0.0609289758185403,0.0949584569937889
"Bptf",0.639291117077049,0,0
"Brd1",0.837160512415926,0,0
"Brd2",1.15723020675439,0,0
"Brd3",0.977338156165287,0,0
"Brd4",0.498500867156184,0,0
"Brd7",0.767349799453918,0,0
"Brd8",1.51194422798189,0,0
"Brpf3",1.13243887221991,0,0
"Brwd1",1.34018731014833,0,0
"Brwd3",5.46986572095883,0,0
"C7orf26",0.967367133640561,0.0572166084385104,0.0896495522592703
"Carm1",1.46381911763645,0,0
"Cbx1",0.75759743044067,0,0
"Cbx3",0.918327364387281,0,0
"Cbx5",0.772260705938278,0.341464369890203,0.425740682458848
"Cdkn1a",0.672698898167305,0.715838159056347,0.749073502155392
"Cecr2",1.15623201681685,0.158698213194991,0.232492882330661
"Celsr1",2.11573884037492,0.325114835278923,0.410597615244502
"Celsr2",1.44914716683184,0,0
"Cep290",0.807847821044649,0.0797498639440266,0.122338796521465
"Chd1",0.781336440151703,0,0
"Chd2",0.713166139398522,0,0
"Chd3",0.883010853578,0,0
"Chd4",0.801929100853341,0,0
"Chd6",1.22806019781795,0,0
"Chd8",1.00322760391057,0.333581296463946,0.419482059501872
"Chrac1",0.778923266033427,0,0
"Crebbp",0.873590267364848,0.27541573856741,0.35238782270852
"Cxxc1",0.799333445674946,0,0
"Dhx30",0.900631047086643,0,0
"Dido1",0.965674194735724,0,0
"Dnmt1",0.490229877957399,0,0
"Dnmt3a",2.3334982269026,0,0
"Dpf2",1.42969656567515,0,0
"Dusp1",0.959940301201658,0,0
"Eed",0.699066799647716,0,0
"Ehmt1",0.61965654782335,0,0
"Ehmt2",0.690072688907715,0,0
"Ep300",1.76071989734509,0,0
"Ep400",1.24864253073886,0.340208868475043,0.425740682458848
"Epc1",1.55190906579177,0,0
"Epc2",2.39010745290325,0,0
"Eya2",0.896616020150014,0,0
"Ezh2",2.55482716747534,0,0
"Fxr1",1.28427067822951,0,0
"Gatad2a",0.969576966108972,0.410172560481719,0.476906985004539
"Gatad2b",1.20296296392966,0,0
"Gclc",1.27501578418519,0.581577113779836,0.634657039711191
"Glyr1",1.85862568252964,0,0
"Gss",0.694529757480562,0,0
"Gtf3c1",0.480971364849953,0,0
"Hat1",1.09862937731925,0.578772832966708,0.634657039711191
"Hcfc1",0.33306234177555,0,0
"Hdac1",0.914311075132791,0.435879652419539,0.4988778834333
"Hdac2",0.901141178159854,0,0
"Hdac3",0.997817570054321,0.109389580870249,0.164364857410169
"Hdac5",1.20064547641175,0.462783008483923,0.527608643913578
"Hdac7",1.21687235734834,0.0840248023106664,0.128225349359507
"Hdgf",1.63993420378513,0,0
"Ift140",0.989823949612754,0.887414354711668,0.896594503208685
"Ift80",1.25114987802495,0.415113808346465,0.480744449982269
"Ing1",1.17487205315572,0,0
"Ing2",0.919792435677961,0.268486968517144,0.346549258923009
"Ing3",0.830780934251576,0.198624293448417,0.271296296296296
"Ing4",0.726782170434527,0,0
"Ino80c",1.31179942968055,0,0
"Ino80d",1.02711579283117,0,0
"Jade3",0.691179899835284,0,0
"Jarid2",1.30028722833834,0,0
"Jmjd1c",0.713553824817621,0.0508338663674395,0.0800770045465579
"Jmjd6",1.06646939041238,0,0
"Jmjd8",0.833592374506927,0,0
"Kat2b",1.46949019815848,0,0
"Kat5",0.451798294106317,0,0
"Kat6a",0.693162819907756,0,0
"Kat7",2.29329993303627,0,0
"Kdm1a",0.705803914553282,0,0
"Kdm2a",0.385236618421316,0,0
"Kdm3b",1.00115525707446,0.287161538546603,0.365818829539802
"Kdm5c",1.09401988963686,0,0
"Kdm6a",1.38541358191946,0,0
"Kdm6b",0.889262409253623,0,0
"Kif3a",1.20827128699496,0.0667377180173752,0.103461118407888
"Kmt2a",1.68388038699764,0,0
"Kmt2b",0.689097422267753,0,0
"Kmt2c",1.57436719166463,0,0
"Kmt2d",1.87931282259195,0,0
"Kmt2e",1.21696819403992,0.192077575297582,0.271296296296296
"Lbr",2.42486682055625,0,0
"Lmna",0.714704638016219,0,0
"Mapk3",0.747007142877704,0,0
"Mau2",0.705484628147451,0,0
"Mbd2",0.852130303954107,0,0
"Mbd3",1.39024718295483,0,0
"Mbd6",1.00471092925096,0.427130433357765,0.490781243034609
"Mcrs1",0.513079496027222,0,0
