"gene_name","point_est","p","fdr"
"Actr8",2.39812656346975,0,0
"Aebp2",3.04007947912872,0.0737248102196686,0.117398746708494
"Alkbh3",3.10278189911155,0.329278422927813,0.415855939301074
"Arid1a",1.75889722950241,0,0
"Arid2",2.54896117584084,0,0
"Arid4a",2.93295040447411,0,0
"Arid4b",3.00683158790953,0.67375755403752,0.728453739236138
"Ash1l",2.91744881059313,0.286881018978065,0.367057373626956
"Ash2l",2.57253129349856,0,0
"Asxl1",3.02726135394731,0,0
"Asxl2",2.59570587174352,0,0
"Atf2",2.89681423909673,0,0
"Atf7ip",2.59517168492622,0,0
"Atrx",3.12984064315041,0,0
"Bag6",3.19592407111314,0.49755095115953,0.567246804240243
"Bap1",2.09916455801759,0,0
"Baz1a",2.17034144785797,0.210792354524865,0.280737090344479
"Baz1b",0.762850569875696,0,0
"Baz2a",1.13452730864914,0,0
"Baz2b",0.965489519407082,0.126627257564708,0.19124632199206
"Bptf",0.753855642524218,0,0
"Brd1",0.836527895293651,0,0
"Brd2",0.91656260522957,0.113037836869072,0.17340359268397
"Brd3",0.961680164391375,0,0
"Brd4",0.622647786565817,0,0
"Brd7",0.787880430093167,0,0
"Brd8",1.19835100582186,0,0
"Brpf3",1.00711246575927,0.06270414403193,0.100946781326129
"Brwd1",1.55796789327384,0,0
"Brwd3",0.958932225169317,0,0
"C7orf26",0.723662914994139,0,0
"Carm1",1.36546767984075,0,0
"Cbx1",0.889811179665061,0,0
"Cbx3",0.974911187127376,0,0
"Cbx5",0.903994819030602,0,0
"Cdkn1a",0.652963961930007,0.304364229009991,0.386055061038646
"Cecr2",0.904808255307064,0.156216013213678,0.230006491817124
"Celsr1",0.965784668823159,0,0
"Celsr2",1.20934685101267,0.0857328799720058,0.132908644612686
"Cep290",1.03247052277983,0.436358329973298,0.509374464869228
"Chd1",0.903718842440961,0,0
"Chd2",0.979175702681845,0.344603980820143,0.433343203348935
"Chd3",1.03425224214197,0.784725113746168,0.819580419580419
"Chd4",0.813580789617072,0,0
"Chd6",0.998800883749196,0.182718948773735,0.261154399954655
"Chd8",0.810460009173879,0,0
"Chrac1",0.759191150436247,0,0
"Crebbp",0.967013679056731,0.384915791918009,0.476189823897038
"Cxxc1",0.832536744017819,0,0
"Dhx30",0.777966258531319,0,0
"Dido1",0.784825488904282,0,0
"Dnmt1",0.576646818569725,0,0
"Dnmt3a",1.29769476958771,0,0
"Dpf2",1.16469953088456,0.166893928716129,0.241321148747748
"Dusp1",1.06464526506364,0,0
"Eed",0.720637692286661,0,0
"Ehmt1",0.899155150227495,0,0
"Ehmt2",0.884490803105432,0,0
"Ep300",1.35739822270461,0,0
"Ep400",0.996465513426462,0,0
"Epc1",1.274878509097,0,0
"Epc2",1.40983869421273,0,0
"Eya2",1.07395757339001,0,0
"Ezh2",1.59304417937245,0,0
"Fxr1",1.05243167703615,0,0
"Gatad2a",0.878578123549065,0.0818752222395134,0.128285776022339
"Gatad2b",1.05746271271665,0,0
"Gclc",1.22671371473986,0,0
"Glyr1",1.19368733645667,0,0
"Gss",0.860532489242269,0,0
"Gtf3c1",0.577671255509578,0,0
"Hat1",0.918375998894653,0.389488608077088,0.478367346938775
"Hcfc1",0.454824509535673,0,0
"Hdac1",0.874133985042704,0,0
"Hdac2",0.990536638171033,0.500601224359092,0.568512243167496
"Hdac3",0.983228205288202,0.47571069591754,0.545038149694909
"Hdac5",1.14147618447438,0,0
"Hdac7",0.998259153727569,0,0
"Hdgf",1.02134405640598,0.195992239285594,0.270046082949309
"Ift140",1.00925658070563,0.78574580882343,0.819580419580419
"Ift80",0.99017271225995,0.237334659776767,0.312342757337291
"Ing1",0.882981731734939,0,0
"Ing2",0.965129942152243,0.266674651646648,0.345204254482366
"Ing3",0.905529014990686,0,0
"Ing4",1.07092506926582,0.636623737654198,0.690854648639556
"Ino80c",0.984748841824938,0,0
"Ino80d",0.964268342199887,0,0
"Jade3",0.888593817008999,0,0
"Jarid2",1.03250021767966,0.592378635987861,0.655970149253732
"Jmjd1c",0.941726311327805,0.365307632032738,0.457415111904241
"Jmjd6",0.686954080102611,0,0
"Jmjd8",1.01162061393434,0.396868141955589,0.478367346938775
