"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"Actr8_1",0.75033386660058,"Actr8",0.677041127014402,0.816282100038243,0,0,0
"Actr8_2",0.815115959324343,"Actr8",0.692025698202339,0.921397099311125,0,0,0
"Actr8_3",0.773535386067296,"Actr8",0.737184692379838,0.814349916493187,0,0,0
"Aebp2_1",0.980979847963574,"Aebp2",0.90679801441078,1.04406017417217,0.3,0.6,0.710839694656488
"Aebp2_2",0.98163833803363,"Aebp2",0.927765285982929,1.09506879245724,0.3,0.6,0.710839694656488
"Aebp2_3",0.945618775719807,"Aebp2",0.834792022434869,1.09231211170072,0.2,0.4,0.544561403508772
"Alkbh3_1",1.05008518846816,"Alkbh3",0.948799899398034,1.17040892494901,0.1,0.2,0.326050420168067
"Alkbh3_2",0.9406353990822,"Alkbh3",0.816367643293296,1.00619017589725,0.1,0.2,0.326050420168067
"Alkbh3_3",1.01233360317571,"Alkbh3",0.957895024186091,1.06612964001435,0.4,0.8,0.836657681940701
"Arid1a_1",1.31018666760553,"Arid1a",1.23188729899524,1.46489375626671,0,0,0
"Arid1a_3",1.14829196087326,"Arid1a",1.01971606766144,1.32769679450352,0,0,0
"Arid2_1",0.922481454308231,"Arid2",0.83128129604938,1.05516210804979,0.3,0.6,0.710839694656488
"Arid2_2",0.777913244584377,"Arid2",0.71630680156826,0.859611511974412,0,0,0
"Arid2_3",0.853903976962653,"Arid2",0.783868073606065,0.992272066838048,0.1,0.2,0.326050420168067
"Arid4a_1",1.09590766633667,"Arid4a",1.01733696196355,1.16824383564359,0,0,0
"Arid4a_2",1.61127588834028,"Arid4a",1.29058843644549,1.7992465442735,0,0,0
"Arid4a_3",1.65669743264847,"Arid4a",1.49243680500991,1.79818065714188,0,0,0
"Arid4b_1",0.800354758961128,"Arid4b",0.703796781665428,0.898229868063155,0,0,0
"Arid4b_2",0.945769102164075,"Arid4b",0.869931453095066,1.05723011409693,0.3,0.6,0.710839694656488
"Arid4b_3",0.837792047923479,"Arid4b",0.763797483595412,0.899512830391166,0,0,0
"Ash1l_1",0.969553184970546,"Ash1l",0.873030177656018,1.04420128139665,0.4,0.8,0.836657681940701
"Ash1l_2",1.01775849082385,"Ash1l",0.89119353373412,1.12693710125923,0.3,0.6,0.710839694656488
"Ash1l_3",1.04909608347474,"Ash1l",0.963019737202207,1.11924996196678,0.2,0.4,0.544561403508772
"Ash2l_1",1.14013847399043,"Ash2l",1.03972529203546,1.22325845373908,0,0,0
"Ash2l_2",1.80652148139544,"Ash2l",1.49235207428967,1.95954975657305,0,0,0
"Ash2l_3",1.01749192339798,"Ash2l",0.957675172553832,1.11052409188964,0.4,0.8,0.836657681940701
"Asxl1_1",0.797434462044008,"Asxl1",0.676129572129104,0.903610060097462,0,0,0
"Asxl1_2",0.938084633603002,"Asxl1",0.880288370556412,0.993893257875383,0.1,0.2,0.326050420168067
"Asxl1_3",1.20096935507545,"Asxl1",1.10804617764055,1.30100477831678,0,0,0
"Asxl2_1",1.59244472657925,"Asxl2",1.3814751026238,1.78460092610811,0,0,0
"Asxl2_2",1.77031549517319,"Asxl2",1.59425829906148,2.01055586303354,0,0,0
"Asxl2_3",2.08994392748104,"Asxl2",1.83233425031083,2.28683112180029,0,0,0
"Atf2_1",1.01398828101246,"Atf2",0.863836870745886,1.18862024831289,0.2,0.4,0.544561403508772
"Atf2_2",0.961722743520035,"Atf2",0.89685893887126,0.999094023472957,0.1,0.2,0.326050420168067
"Atf2_3",1.07519940609496,"Atf2",0.912154919462013,1.2863340521361,0.3,0.6,0.710839694656488
"Atf7ip_1",1.05115542310819,"Atf7ip",0.964297741959731,1.19364734263294,0.2,0.4,0.544561403508772
"Atf7ip_2",0.905634111773525,"Atf7ip",0.75245708855218,0.987179526734874,0,0,0
"Atf7ip_3",1.13059732528412,"Atf7ip",1.00516028492737,1.31688415140532,0.1,0.2,0.326050420168067
"Atrx_1",1.13674931852474,"Atrx",1.05668392510921,1.22107271210593,0,0,0
"Atrx_2",0.936724883282849,"Atrx",0.833516691236276,1.07778794661155,0.2,0.4,0.544561403508772
"Atrx_3",0.857726968825471,"Atrx",0.744641360136617,1.06637204521076,0.1,0.2,0.326050420168067
"Bag6_1",1.12168963374167,"Bag6",1.02106402892044,1.21136873635817,0,0,0
"Bag6_2",1.19649110109131,"Bag6",1.04486535916766,1.42873691868265,0,0,0
"Bag6_3",1.00654103290914,"Bag6",0.936078980005446,1.12282794231966,0.5,1,1
"Bap1_1",0.75094410787274,"Bap1",0.67732595150363,0.803277026764045,0,0,0
"Bap1_2",0.7766920935201,"Bap1",0.719922031098177,0.846369370368186,0,0,0
"Bap1_3",0.821249566909153,"Bap1",0.745877272668226,0.985033428720558,0.1,0.2,0.326050420168067
"Baz1a_1",0.972424985510298,"Baz1a",0.880945295284905,1.03909593723074,0.5,1,1
"Baz1a_2",1.00439651760695,"Baz1a",0.952545389369234,1.06365157670841,0.5,1,1
"Baz1a_3",1.01144717502483,"Baz1a",0.861448426340672,1.1566218368181,0.4,0.8,0.836657681940701
