"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"Actr8_1",0.805856268699612,"Actr8",0.724346092708135,0.885080914768417,0,0,0
"Actr8_2",0.863896037848351,"Actr8",0.762901600329107,0.933134960676815,0,0,0
"Actr8_3",0.910905376098621,"Actr8",0.842842025100191,0.982448876872399,0,0,0
"Aebp2_1",1.0163601250744,"Aebp2",0.892786271790035,1.18671799429093,0.4,0.8,0.857458563535912
"Aebp2_2",0.948011563480924,"Aebp2",0.839453797001967,0.997335133003737,0,0,0
"Aebp2_3",1.02842595266184,"Aebp2",0.922811180847944,1.16633473415438,0.4,0.8,0.857458563535912
"Alkbh3_1",1.09696150472016,"Alkbh3",0.963065317386458,1.25589968706269,0.2,0.4,0.580186915887851
"Alkbh3_2",0.980283130879876,"Alkbh3",0.884017456261554,1.05430458649552,0.4,0.8,0.857458563535912
"Alkbh3_3",1.05182249838498,"Alkbh3",0.959838856416006,1.13082771338016,0.3,0.6,0.74496
"Arid1a_1",1.28389068604129,"Arid1a",1.13970421473968,1.42192326915343,0,0,0
"Arid1a_3",1.14016171553769,"Arid1a",1.01636083446277,1.29069658049354,0.1,0.2,0.38320987654321
"Arid2_1",0.984846224461832,"Arid2",0.883084541303665,1.1169930667375,0.4,0.8,0.857458563535912
"Arid2_2",0.876701650913416,"Arid2",0.837847226237819,0.92578905522602,0,0,0
"Arid2_3",1.07736037448082,"Arid2",0.861780576276277,1.28936643666537,0.2,0.4,0.580186915887851
"Arid4a_1",1.09662245770384,"Arid4a",0.969482100647949,1.23849716905849,0.2,0.4,0.580186915887851
"Arid4a_2",1.51554280801999,"Arid4a",1.35054603490143,1.69604671344061,0,0,0
"Arid4a_3",1.43100133505507,"Arid4a",1.30682505563886,1.59472861715039,0,0,0
"Arid4b_1",0.874927218356728,"Arid4b",0.773515226286078,0.988302090439457,0,0,0
"Arid4b_2",1.02990272654372,"Arid4b",0.960984585335367,1.13706243696014,0.5,1,1
"Arid4b_3",0.922130765511627,"Arid4b",0.843710111033398,0.995769230860541,0,0,0
"Ash1l_1",1.03602337239025,"Ash1l",0.980308908721436,1.10334118209405,0.2,0.4,0.580186915887851
"Ash1l_2",0.960319909489647,"Ash1l",0.880224036346469,1.07780932928386,0.3,0.6,0.74496
"Ash1l_3",1.04233955466587,"Ash1l",0.964657133990202,1.09502461857019,0.2,0.4,0.580186915887851
"Ash2l_1",1.03160621103329,"Ash2l",0.967876021951319,1.09717374693256,0.3,0.6,0.74496
"Ash2l_2",1.55891424958767,"Ash2l",1.26276718870878,2.06990850475832,0,0,0
"Ash2l_3",1.06584207520329,"Ash2l",0.99018261325109,1.14498281652951,0.1,0.2,0.38320987654321
"Asxl1_1",0.867096060248388,"Asxl1",0.744719269709244,0.977035819705465,0,0,0
"Asxl1_2",1.01071035607109,"Asxl1",0.915855546426762,1.07312750498341,0.4,0.8,0.857458563535912
"Asxl1_3",1.08748926265176,"Asxl1",0.983627095744028,1.18897964219506,0.2,0.4,0.580186915887851
"Asxl2_1",1.20946423439859,"Asxl2",1.02815679129131,1.3041175341448,0,0,0
"Asxl2_2",1.40220107771982,"Asxl2",1.25004094349952,1.6412378138957,0,0,0
"Asxl2_3",1.56938851137446,"Asxl2",1.29642316194281,1.79130903450306,0,0,0
"Atf2_1",1.02721300865059,"Atf2",0.932670012149913,1.12313045037856,0.2,0.4,0.580186915887851
"Atf2_2",1.01009472886272,"Atf2",0.919423804079523,1.10595059841042,0.4,0.8,0.857458563535912
"Atf2_3",1.01444641080491,"Atf2",0.90742838024605,1.1990275566778,0.4,0.8,0.857458563535912
"Atf7ip_1",1.08321843213195,"Atf7ip",1.04809576177993,1.1080802005829,0,0,0
"Atf7ip_2",0.923499088212772,"Atf7ip",0.843252298799393,1.04646024258872,0.2,0.4,0.580186915887851
"Atf7ip_3",1.1289260635072,"Atf7ip",0.97697372328244,1.30547724596173,0.2,0.4,0.580186915887851
"Atrx_1",1.10303631564969,"Atrx",1.00093444528343,1.17879842828424,0.1,0.2,0.38320987654321
"Atrx_2",1.04467574505468,"Atrx",0.963552090589345,1.21946428071634,0.3,0.6,0.74496
"Atrx_3",0.986382000176475,"Atrx",0.790773067333425,1.23504336049555,0.5,1,1
"Bag6_1",1.02572395417341,"Bag6",0.971942026946642,1.09767223769163,0.4,0.8,0.857458563535912
"Bag6_2",1.080996931491,"Bag6",0.880726293823072,1.27783645488761,0.2,0.4,0.580186915887851
"Bag6_3",0.980817506727913,"Bag6",0.874088201286636,1.0520033879817,0.3,0.6,0.74496
"Bap1_1",0.862723574553175,"Bap1",0.759134450998772,0.981155484887273,0,0,0
"Bap1_2",0.818928576243413,"Bap1",0.739831880587265,0.910264978768513,0,0,0
"Bap1_3",0.851600705742152,"Bap1",0.804164035389896,0.928068652935178,0,0,0
"Baz1a_1",1.02584845561248,"Baz1a",0.945752276700988,1.169839435467,0.5,1,1
"Baz1a_2",1.03430455744824,"Baz1a",0.943364840305175,1.12712827810377,0.4,0.8,0.857458563535912
"Baz1a_3",1.02794145861532,"Baz1a",0.914140975768688,1.11890555008846,0.4,0.8,0.857458563535912
"Baz1b_1",1.08658552320587,"Baz1b",0.972116151814769,1.19936310365265,0.3,0.6,0.74496
"Baz1b_2",1.0889492872095,"Baz1b",0.988318276635822,1.16959369921547,0.3,0.6,0.74496
"Baz1b_3",1.06805825345976,"Baz1b",0.970382816710268,1.1592806127168,0.2,0.4,0.580186915887851
"Baz2a_1",1.09311187181172,"Baz2a",0.938943285634325,1.27510840885876,0.2,0.4,0.580186915887851
"Baz2a_2",0.974882771233041,"Baz2a",0.903568060390049,1.05052464024906,0.2,0.4,0.580186915887851
"Baz2a_3",0.91122592134248,"Baz2a",0.786919228083032,0.979071944677656,0,0,0
"Baz2b_1",0.905723621256037,"Baz2b",0.80943798148984,1.01905700973159,0.1,0.2,0.38320987654321
"Baz2b_2",1.13463306350491,"Baz2b",1.01507165011893,1.26633927166698,0,0,0
"Baz2b_3",1.02636691450829,"Baz2b",0.886346985742293,1.15964713971535,0.5,1,1
"Bptf_1",1.04716539610956,"Bptf",0.936963151555895,1.24261920744165,0.4,0.8,0.857458563535912
"Bptf_2",0.914658089802004,"Bptf",0.830490256125656,1.00085136717323,0.1,0.2,0.38320987654321
"Bptf_3",0.879688587710662,"Bptf",0.800598290581053,0.991556807231068,0,0,0
"Brd1_1",1.20033240762829,"Brd1",1.07124909149504,1.40761268270425,0,0,0
"Brd1_2",1.14996449126647,"Brd1",1.08483905659741,1.2801784013978,0,0,0
"Brd1_3",1.08763564093395,"Brd1",1.00365266151234,1.18324353165787,0.1,0.2,0.38320987654321
"Brd2_1",1.09049364583545,"Brd2",1.01821557208638,1.18759839689925,0,0,0
"Brd2_2",1.02472885685554,"Brd2",0.925583392734443,1.15547669340987,0.4,0.8,0.857458563535912
"Brd2_3",1.02772842430169,"Brd2",0.844239044438268,1.17733012261854,0.4,0.8,0.857458563535912
"Brd3_1",0.921434283803142,"Brd3",0.749444066950792,1.11294635864542,0.3,0.6,0.74496
