"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"Actr8_1",0.852833033869474,"Actr8",0.673991956269442,1.00389467812869,0.1,0.2,0.356781609195402
"Actr8_2",0.6855900658745,"Actr8",0.501893195448077,0.886404208400432,0,0,0
"Actr8_3",0.644459849734613,"Actr8",0.524106684904928,0.814265562674035,0,0,0
"Aebp2_1",0.919036556566786,"Aebp2",0.550753365864054,1.21917726725836,0.3,0.6,0.736708860759494
"Aebp2_2",1.42563630643194,"Aebp2",0.860992654748568,2.20147409935707,0.2,0.4,0.566423357664234
"Aebp2_3",0.601630932032155,"Aebp2",0.27607367916185,1.01815653140431,0.1,0.2,0.356781609195402
"Alkbh3_1",1.22840397222921,"Alkbh3",0.881192130450249,1.48748763561836,0.2,0.4,0.566423357664234
"Alkbh3_2",0.883346111754709,"Alkbh3",0.535870113598052,1.25892099259553,0.2,0.4,0.566423357664234
"Alkbh3_3",1.17128372644434,"Alkbh3",0.814372731955377,1.84841582669476,0.5,1,1
"Arid1a_1",1.58575353095353,"Arid1a",0.96340463505902,2.42933944847037,0.1,0.2,0.356781609195402
"Arid1a_3",0.785677628757929,"Arid1a",0.534533702962524,1.03768353963067,0.2,0.4,0.566423357664234
"Arid2_1",0.640908949022025,"Arid2",0.363495248626442,1.28244316187107,0.1,0.2,0.356781609195402
"Arid2_2",0.465865026810472,"Arid2",0.335862844184578,0.679681130694759,0,0,0
"Arid2_3",0.580128480188602,"Arid2",0.365929092274984,0.734263662770267,0,0,0
"Arid4a_1",1.95578886817194,"Arid4a",1.32371390582313,3.08240715796167,0,0,0
"Arid4a_2",1.20126046228284,"Arid4a",0.653110364028524,1.68902266277281,0.3,0.6,0.736708860759494
"Arid4a_3",1.63404481120693,"Arid4a",1.23428249580393,2.14430828649392,0,0,0
"Arid4b_1",0.816931382982674,"Arid4b",0.687370780553206,0.961563258726829,0,0,0
"Arid4b_2",1.01827849136562,"Arid4b",0.676542165900546,1.21392125291597,0.4,0.8,0.857458563535912
"Arid4b_3",1.12180331517901,"Arid4b",0.850436370166167,1.43698436383606,0.2,0.4,0.566423357664234
"Ash1l_1",0.647639744911198,"Ash1l",0.376823516671873,0.857872180047225,0,0,0
"Ash1l_2",1.3101681314677,"Ash1l",0.91763521272835,1.66890330901065,0.2,0.4,0.566423357664234
"Ash1l_3",0.887215764069645,"Ash1l",0.709279286073651,1.32756817795684,0.2,0.4,0.566423357664234
