"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"Actr8_1",0.838282406711965,"Actr8",0.754250229037945,0.893647817938954,0,0,0
"Actr8_2",0.777386209571708,"Actr8",0.653144627127427,1.00683112578176,0.1,0.2,0.371291866028708
"Actr8_3",0.782457947186074,"Actr8",0.614763446807184,1.00664364582817,0.1,0.2,0.371291866028708
"Aebp2_1",0.908266282217288,"Aebp2",0.689389013841128,1.13570208660857,0.1,0.2,0.371291866028708
"Aebp2_2",1.28172951687142,"Aebp2",1.02046890125287,1.67304394850626,0.1,0.2,0.371291866028708
"Aebp2_3",0.850083680040011,"Aebp2",0.69733685342418,1.02099705478849,0.2,0.4,0.592366412213741
"Alkbh3_1",1.01958244542094,"Alkbh3",0.837311771256383,1.27544260981912,0.5,1,1
"Alkbh3_2",0.955664793311193,"Alkbh3",0.849284291489376,1.05752074837493,0.3,0.6,0.74140127388535
"Alkbh3_3",1.12753466037942,"Alkbh3",0.947845661556685,1.33310737820411,0.1,0.2,0.371291866028708
"Arid1a_1",0.936921038657323,"Arid1a",0.694233942680834,1.19055028276903,0.5,1,1
"Arid1a_3",0.821976190845087,"Arid1a",0.751912785652893,0.898100356948577,0,0,0
"Arid2_1",1.00694649316285,"Arid2",0.823582146717701,1.18874953499891,0.5,1,1
"Arid2_2",0.75996524553179,"Arid2",0.668824337391916,0.874762783863886,0,0,0
"Arid2_3",0.782049437146206,"Arid2",0.586120610232386,0.997640362940058,0.1,0.2,0.371291866028708
"Arid4a_1",1.33828327456579,"Arid4a",1.10166451622408,1.64605244407811,0,0,0
"Arid4a_2",0.725852106982556,"Arid4a",0.519744315670344,0.938214252043845,0,0,0
"Arid4a_3",0.868815022925771,"Arid4a",0.675505977386205,1.09062628803997,0.3,0.6,0.74140127388535
"Arid4b_1",0.981539375469361,"Arid4b",0.847359201681454,1.11593484698268,0.4,0.8,0.851577503429355
"Arid4b_2",0.995931554417203,"Arid4b",0.788336204477944,1.18628105355196,0.4,0.8,0.851577503429355
