Geneid	Chr	Start	End	Strand
all_samples_summits_1	chr1	4571622	4572122	.
all_samples_summits_2	chr1	4622371	4622871	.
all_samples_summits_3	chr1	4785456	4785956	.
all_samples_summits_4	chr1	4807560	4808060	.
all_samples_summits_5	chr1	4857471	4857971	.
all_samples_summits_6	chr1	4858107	4858607	.
all_samples_summits_7	chr1	5082861	5083361	.
all_samples_summits_8	chr1	6213019	6213519	.
all_samples_summits_9	chr1	6214361	6214861	.
all_samples_summits_10	chr1	6214966	6215466	.
all_samples_summits_11	chr1	6251181	6251681	.
all_samples_summits_12	chr1	6272187	6272687	.
all_samples_summits_13	chr1	6280113	6280613	.
all_samples_summits_14	chr1	6287149	6287649	.
all_samples_summits_15	chr1	6287887	6288387	.
all_samples_summits_16	chr1	6356860	6357360	.
all_samples_summits_17	chr1	6359053	6359553	.
all_samples_summits_18	chr1	6382583	6383083	.
all_samples_summits_19	chr1	6389821	6390321	.
all_samples_summits_20	chr1	7088552	7089052	.
all_samples_summits_21	chr1	7090324	7090824	.
all_samples_summits_22	chr1	7096616	7097116	.
all_samples_summits_23	chr1	7206231	7206731	.
all_samples_summits_24	chr1	7397200	7397700	.
all_samples_summits_25	chr1	7397721	7398221	.
all_samples_summits_26	chr1	9545082	9545582	.
all_samples_summits_27	chr1	9545618	9546118	.
all_samples_summits_28	chr1	9547812	9548312	.
all_samples_summits_29	chr1	9631497	9631997	.
all_samples_summits_30	chr1	9700363	9700863	.
all_samples_summits_31	chr1	9747675	9748175	.
all_samples_summits_32	chr1	9748198	9748698	.
all_samples_summits_33	chr1	9755567	9756067	.
all_samples_summits_34	chr1	9772703	9773203	.
all_samples_summits_35	chr1	9848041	9848541	.
all_samples_summits_36	chr1	9943906	9944406	.
all_samples_summits_37	chr1	9967972	9968472	.
all_samples_summits_38	chr1	10037690	10038190	.
all_samples_summits_39	chr1	10038976	10039476	.
all_samples_summits_40	chr1	10039548	10040048	.
all_samples_summits_41	chr1	10089457	10089957	.
all_samples_summits_42	chr1	10147776	10148276	.
all_samples_summits_43	chr1	10158237	10158737	.
all_samples_summits_44	chr1	10232334	10232834	.
all_samples_summits_45	chr1	10232859	10233359	.
all_samples_summits_46	chr1	10233396	10233896	.
all_samples_summits_47	chr1	10256489	10256989	.
all_samples_summits_48	chr1	10257156	10257656	.
all_samples_summits_49	chr1	10285453	10285953	.
all_samples_summits_50	chr1	10300429	10300929	.
all_samples_summits_51	chr1	12991016	12991516	.
all_samples_summits_52	chr1	13294741	13295241	.
all_samples_summits_53	chr1	13300651	13301151	.
